receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:45:48.463688+00:00,muenster,Münster,long_distance,2,2,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,muenster,Münster,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,muenster,Münster,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,passau,Passau,tram_metro,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,passau,Passau,bus,34,2,0,2,30,0,0,5.9
2026-09-06T09:45:48.463688+00:00,passau,Passau,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,passau,Passau,regional,3,2,0,0,1,0,0,66.7
2026-09-06T09:45:48.463688+00:00,passau,Passau,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,passau,Passau,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,passau,Passau,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,neubrandenburg,Neubrandenburg,tram_metro,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,neubrandenburg,Neubrandenburg,bus,12,6,0,2,4,0,0,50.0
2026-09-06T09:45:48.463688+00:00,neubrandenburg,Neubrandenburg,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,neubrandenburg,Neubrandenburg,regional,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,neubrandenburg,Neubrandenburg,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,neubrandenburg,Neubrandenburg,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,neubrandenburg,Neubrandenburg,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,stendal,Stendal,tram_metro,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,stendal,Stendal,bus,11,5,0,2,4,0,0,45.5
2026-09-06T09:45:48.463688+00:00,stendal,Stendal,suburban,2,2,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,stendal,Stendal,regional,4,4,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,stendal,Stendal,long_distance,3,1,0,0,2,0,0,33.3
2026-09-06T09:45:48.463688+00:00,stendal,Stendal,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,stendal,Stendal,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,pruem,Prüm,tram_metro,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,pruem,Prüm,bus,5,0,0,1,4,0,0,0.0
2026-09-06T09:45:48.463688+00:00,pruem,Prüm,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,pruem,Prüm,regional,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,pruem,Prüm,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,pruem,Prüm,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,pruem,Prüm,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,goslar,Goslar,tram_metro,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,goslar,Goslar,bus,26,7,0,6,13,0,0,26.9
2026-09-06T09:45:48.463688+00:00,goslar,Goslar,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,goslar,Goslar,regional,9,7,0,1,1,0,0,77.8
2026-09-06T09:45:48.463688+00:00,goslar,Goslar,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,goslar,Goslar,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,goslar,Goslar,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,berlin,Berlin,tram_metro,311,0,0,0,311,0,0,0.0
2026-09-06T09:46:48.643859+00:00,berlin,Berlin,bus,795,3,0,0,792,0,0,0.4
2026-09-06T09:46:48.643859+00:00,berlin,Berlin,suburban,142,127,0,10,5,0,0,89.4
2026-09-06T09:46:48.643859+00:00,berlin,Berlin,regional,31,25,0,4,2,0,0,80.6
2026-09-06T09:46:48.643859+00:00,berlin,Berlin,long_distance,11,8,0,0,3,0,0,72.7
2026-09-06T09:46:48.643859+00:00,berlin,Berlin,ferry,3,0,0,0,3,0,0,0.0
2026-09-06T09:46:48.643859+00:00,berlin,Berlin,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,hamburg,Hamburg,tram_metro,65,44,0,1,20,0,0,67.7
2026-09-06T09:46:48.643859+00:00,hamburg,Hamburg,bus,671,234,0,184,253,0,0,34.9
2026-09-06T09:46:48.643859+00:00,hamburg,Hamburg,suburban,70,28,0,0,42,0,0,40.0
2026-09-06T09:46:48.643859+00:00,hamburg,Hamburg,regional,19,16,0,3,0,0,0,84.2
2026-09-06T09:46:48.643859+00:00,hamburg,Hamburg,long_distance,7,6,0,0,1,0,0,85.7
2026-09-06T09:46:48.643859+00:00,hamburg,Hamburg,ferry,15,10,0,3,2,0,0,66.7
2026-09-06T09:46:48.643859+00:00,hamburg,Hamburg,other,0,0,0,0,0,0,0,
2026-09-06T09:46:48.643859+00:00,munich,München,tram_metro,220,146,0,74,0,0,0,66.4
2026-09-06T09:46:48.643859+00:00,munich,München,bus,586,337,0,137,112,0,0,57.5
2026-09-06T09:46:48.643859+00:00,munich,München,suburban,57,46,0,7,4,0,0,80.7
2026-09-06T09:46:48.643859+00:00,munich,München,regional,18,14,0,4,0,0,0,77.8
2026-09-06T09:46:48.643859+00:00,munich,München,long_distance,7,3,0,0,4,0,0,42.9
2026-09-06T09:46:48.643859+00:00,munich,München,ferry,0,0,0,0,0,0,0,
